tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_est_0,tau_est_1,tau_est_2,tau_est_3,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3
-1.386022,-0.371756,9.546787,-9.836529,-0.890428,-0.226252,9.308953,-2.507775,0.158259,-0.007686,-0.013555,-0.012398,0.110963,-0.028238,0.390516,-0.379739,-0.134669,-0.122402,0.277494,0.326502
-1.462744,-0.551912,10.363127,-9.487339,-0.949576,0.190559,10.423164,-1.939543,0.156186,-0.008571,-0.011263,-0.010627,0.098758,-0.036034,0.419106,-0.381414,-0.273618,-0.135989,0.198049,0.108832
-0.902813,-0.520198,11.344646,-9.746978,0.474366,-0.114462,10.775617,-2.087125,0.14525,-0.012701,-0.009732,-0.005313,0.089889,-0.046361,0.440542,-0.377235,-0.517411,-0.244801,-0.043898,0.224464
-1.072553,-0.837848,11.247058,-9.431671,-0.829769,-0.263539,12.005379,-1.97083,0.139026,-0.013586,-0.009731,-0.001771,0.076815,-0.056021,0.443675,-0.343668,-0.552416,-0.217601,0.044046,0.442123
-0.731532000000001,-0.664742,10.713773,-7.553133,-0.23694,0.189904,13.176468,-1.284357,0.133169,-0.017423,-0.009923,0.003247,0.077677,-0.064972,0.414398,-0.270038,-0.605344,-0.380864,-0.052874,0.360504
0.77257,-0.619582,8.784892,-5.102541,-3.2e-05,-0.416535,13.292326,-0.674041,0.125801,-0.020079,-0.011261,0.007675,0.110267,-0.068845,0.320399,-0.149084,-0.65813,-0.421699,-0.246696,0.591783
4.423996,-0.0688660000000001,4.065498,-1.256633,0.828392,-1.176473,10.889489,0.048723,0.119176,-0.025097,-0.013938,0.013579,0.207428,-0.059137,0.124002,0.00304,-0.667588,-0.476167,-0.308499,0.496579
5.92271,0.433434,-1.037006,0.925136,4.258787,-1.265105,6.906297,0.956388,0.113306,-0.028935,-0.018338,0.019779,0.267746,-0.045329,-0.09859,0.084541,-0.258655,-0.462627,-0.484647,0.346957
3.632971,0.785706,-0.667788,0.15743,3.786106,-1.0387,0.994388,0.153111,0.11404,-0.034251,-0.02637,0.024503,0.234693,-0.025753,-0.12006,0.053117,0.294942,-0.265383,-0.837231,0.27896
0.54743,1.345986,1.950756,-2.099895,2.249402,-0.048976,-0.526034,0.453375,0.120824,-0.037794,-0.036126,0.027751,0.175696,-0.006993,-0.034676,-0.017052,0.686545,-0.210978,-0.957253,0.48991
8.745531,-0.252608,1.978864,-2.099007,15.540912,-3.473465,-1.752782,-0.192192,0.099856,-0.035136,-0.041097,0.026571,0.139915,0.007263,0.046883,-0.061744,-3.671733,0.762289,0.110318,-0.054434
8.076367,1.882406,2.65666,-1.582729,9.132534,-2.528522,1.460921,-0.527711,0.064445,-0.030704,-0.038417,0.025389,0.122196,0.079227,0.097153,-0.058604,-3.027541,0.707762,0.366295,-0.258548
4.723402,3.301758,3.240262,-1.673256,3.529708,-0.199858,2.572084,-0.18551,0.044888,-0.030409,-0.034014,0.022732,0.117802,0.085549,0.129814,-0.05835,-1.085706,0.088491,0.427719,-0.176897
2.784088,2.211818,1.547472,-0.927194,2.293053,0.145731,1.345377,-0.149656,0.038628,-0.02598,-0.025407,0.019484,0.110998,0.087662,0.123539,-0.037198,-0.125569,0.598721,1.088089,-0.244928
4.941243,2.868856,1.148086,-0.798606,5.407683,0.027005,-0.058547,-0.302997,0.035596,-0.021256,-0.012985,0.015055,0.143537,0.115192,0.139243,-0.023965,-0.581654,0.612292,1.328807,-0.088447
6.333274,1.195346,1.447526,-0.0866089999999999,6.989752,-0.386742,0.937893,-0.41577,0.027429,-0.012694,0.001903,0.010332,0.161571,0.083385,0.158271,-0.026327,-0.819152,0.843512,1.230837,-0.414933
7.539425,2.118834,0.79304,-0.41996,8.803744,-0.799989,0.821695,0.038333,0.017915,-0.006199,0.018105,0.006494,0.183422,0.07622,0.167807,-0.0152,-0.87334,0.176868,1.474755,-0.061195
7.152689,1.40312,1.504516,-0.095316,8.093934,-0.647356,0.470165,-0.113475,0.009341,-0.005313,0.034857,0.002952,0.179568,0.034656,0.199539,-0.016638,-0.597372,-0.102025,1.306267,-0.197217
7.545909,0.31555,1.00489,-0.759219,9.145814,-1.708482,0.529598,0.075768,0.004003,-0.005904,0.050825,0.000592,0.187214,0.012777,0.215347,-0.014535,-0.566762,0.12244,1.55408,0.190522
8.285142,0.122198,0.309707,-0.499796,9.375656,-2.238398,0.117836,0.265073,-0.00229,-0.005609,0.068859,-0.001474,0.205038,0.001185,0.216588,-0.016016,-0.514331,0.040811,1.691759,0.068123
8.782713,-0.058084,-0.0158209999999999,-0.348985,10.192141,-2.691036,-0.531061,-0.227043,-0.007059,-0.002952,0.08573,-0.002949,0.223774,0.009169,0.217111,-0.017442,-0.351779,0.210857,1.650173,-0.00667
8.829461,0.98747,-0.209546,0.149198,11.535863,-2.726627,0.531827,-0.000328,-0.010877,-0,0.103335,-0.005013,0.22078,0.055135,0.220839,-0.018621,-0.360733,0.33329,1.573573,-0.244699
8.308333,1.900426,-0.254686,0.316227,11.591637,-2.383792,0.355068,-0.265446,-0.013932,0.002361,0.119969,-0.007373,0.210623,0.082033,0.225729,-0.024092,-0.224454,0.244867,1.449343,-0.367101
7.803574,2.3019,-0.338723,0.095837,10.769357,-1.774151,-0.296313,0.606374,-0.01718,0.00738,0.134504,-0.010027,0.18967,0.112678,0.221115,-0.023046,-0.281912,0.42852,1.251999,-0.210656
6.057928,2.731978,-0.375577,0.087551,9.187359,-0.598987,-0.355801,-0.112965,-0.019665,0.010627,0.146569,-0.012977,0.138313,0.121192,0.221524,-0.023606,-0.264349,0.292486,1.124726,-0.176638
3.256562,2.844208,-0.534688,0.190702,7.079724,0.461144,0.059391,-0.151635,-0.021578,0.013579,0.15768,-0.015632,0.064416,0.116095,0.209164,-0.023768,-0.123386,0.115636,0.910894,-0.197051
1.739582,2.99446,-0.469757,0.792538,4.38783,0.458995,-0.772264,-0.149344,-0.022917,0.015055,0.167085,-0.018581,0.018979,0.122126,0.222108,-0.014067,-0.136611,0.108835,0.922666,-0.339844
0.676177,2.897812,-0.0846429999999996,0.593394,2.281486,1.820126,0.416064,0.074488,-0.023874,0.015941,0.173478,-0.01976,-0.008083,0.11843,0.219977,-0.009614,-0.061746,0.088429,0.623559,-0.169872
0.650458,2.602772,0.0687460000000001,0.329959,0.175471,1.363404,0.237864,0.037124,-0.024449,0.017417,0.178741,-0.020349,-0.011667,0.118688,0.212351,-0.001702,-0.101544,0.217679,0.385752,0.068108
-0.459102,2.772946,-0.248032,0.587153,-1.287055,1.247804,1.070761,0.034505,-0.024069,0.019779,0.182689,-0.020053,-0.026377,0.121281,0.199095,0.002896,0.189161,0.136057,0.329091,-0.006714
-0.662623,2.917334,-0.50946,0.341069,-1.755468,2.155718,-0.118999,-0.037522,-0.021396,0.02096,0.186074,-0.018871,-0.027003,0.124554,0.185476,0.007834,0.233189,0.095243,0.247255,0.163278
-0.593615,2.804022,-0.2768,0.344825,-2.282568,1.813835,0.476112,-0.114884,-0.018915,0.022436,0.187584,-0.01651,-0.024566,0.122253,0.181738,0.009253,0.197915,0.095244,0.065325,0.149625
-0.387792,3.14919,-0.147355,0.445447,-1.931754,2.041541,0.357003,0.188538,-0.016623,0.022435,0.1874,-0.015034,-0.013867,0.12378,0.175987,0.012031,0.242126,-0.05442,-0.068985,0.115589
-0.119477,3.22638,-0.312551999999999,0.5023,-1.639455,2.155645,0.059413,0.378659,-0.013567,0.021845,0.186464,-0.013559,-0.00013,0.124856,0.164282,0.014691,0.294886,-0.068025,-0.120999,0.101975
0.629043,2.913538,-0.687596999999999,0.502246,-2.694024,1.169276,-0.237994,0.038346,-0.010514,0.022435,0.184963,-0.012379,0.022531,0.125449,0.148128,0.018589,0.263766,0.088441,-0.116639,0.135977
1.376422,3.197058,-0.867781,0.371763,0.351453,1.85594,-0.416426,0.076451,-0.008223,0.022435,0.183463,-0.010608,0.043673,0.125829,0.130418,0.020579,0.219969,-0.047619,-0.229172,0.203956
2.210442,3.513524,-0.989171,0.362861,0.351516,1.780216,-0.416192,-0.454052,-0.005931,0.021254,0.180084,-0.007658,0.072569,0.125673,0.110735,0.023715,0.268529,-0.190477,-0.372277,0.210732
3.173595,3.438006,-1.020558,0.00269699999999995,1.81651,1.51741,-1.307808,0.190458,-0.003449,0.019778,0.175198,-0.005298,0.098538,0.128029,0.088984,0.024179,0.197975,-0.095238,-0.567396,0.367114
4.286852,3.320748,-1.354412,0.0169619999999999,2.754543,1.291593,-0.83185,0.038176,-0.001159,0.019188,0.169933,-0.002348,0.136899,0.126705,0.066861,0.023348,0.272589,-0.047619,-0.611194,0.312719
5.497018,3.511202,-1.036654,-0.0411550000000001,3.869154,1.179352,-0.593723,-0.265135,0.002467,0.017712,0.161653,1.2e-05,0.181389,0.119333,0.045217,0.022837,0.382626,-0.231286,-0.937123,0.30589
7.399537,3.085888,-1.22548,0.165865,5.922512,0.537844,-0.711876,-0.189525,0.005901,0.01594,0.151293,0.001486,0.236158,0.106105,0.016467,0.023343,0.329729,-0.190469,-1.072585,0.19028
9.415487,2.4608,-1.663463,0.532948,9.325539,-0.292226,-1.007661,0.151126,0.008763,0.013874,0.140735,0.002665,0.28607,0.085017,-0.007858,0.025605,0.145129,-0.163255,-1.025681,0.020276
11.027809,1.586028,-0.758402,0.16872,11.320608,-0.896864,-0.296064,0.3786,0.009908,0.012693,0.126771,0.003254,0.330771,0.05377,-0.022271,0.030666,0.101198,-0.176859,-1.483824,0.25829
10.874971,-0.120092,-0.931224,0.886465,13.55023,-2.184005,-0.532255,0.151265,0.010672,0.010922,0.112791,0.003253,0.327919,-0.004418,-0.027261,0.040878,0.114337,-0.170054,-1.285038,0.02708
9.562347,-1.81183,0.0421940000000003,1.518662,14.373045,-3.019162,-0.118117,-0.03793,0.012198,0.00856,0.096334,0.004137,0.294203,-0.072694,-0.008752,0.057801,0.153914,-0.312895,-1.334672,-0.088531
7.269228,-3.751622,1.825609,1.245987,13.611487,-3.818356,-2.4e-05,0.340826,0.013343,0.005608,0.082697,0.005907,0.220541,-0.138038,0.053008,0.072608,-0.008649,-0.278879,-1.283917,0.210769
3.383079,-4.557608,3.158218,0.73712,11.557963,-4.238816,1.532256,1.478276,0.013344,0.002657,0.070183,0.008267,0.105743,-0.174657,0.116407,0.070397,-0.074557,-0.380906,-1.001309,0.408065
-0.606616,-2.347272,3.067891,-0.305492,7.566809,-3.86439,2.355868,0.64768,0.010676,-0.002657,0.061445,0.015942,-0.026988,-0.1072,0.150474,0.060862,-0.355812,-0.394509,-0.421083,0.714246
0.514104,0.868594,2.673588,-0.631288,0.586363,-1.931685,3.12122,0.538145,0.006099,-0.00797,0.059148,0.024799,-0.002821,0.001484,0.157528,0.063227,-0.413152,-0.292487,-0.107044,0.795994
3.074639,0.726832,6.642728,2.434873,-0.762153,-0.984097,11.76498,4.000982,0.003812,-0.00797,0.045481,0.021846,0.092675,0.037571,0.162103,0.047939,0.017783,0.319699,-1.863589,-0.891274
3.880031,0.205266,7.643606,2.062711,1.817753,-0.682007,11.037541,4.215118,0.006292,-0.002362,0.021719,0.012103,0.142009,0.040757,0.160845,-0.012052,0.435032,0.544152,-2.082728,-1.333293
3.590681,-0.118218,5.411994,-1.015317,2.757407,-0.150999,7.446854,2.805737,0.012963,0.002066,0.006101,0.005609,0.165478,0.04075,0.144221,-0.068742,0.873672,0.639369,-0.979497,-0.421729
2.534402,0.313542,4.687084,-3.145732,2.818386,-0.263537,6.680315,0.948133,0.023247,0.006199,-0.001907,0.002656,0.157323,0.033427,0.139861,-0.140042,1.079129,0.251649,-0.571442,-0.210859
